;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;DIE LINKE;GRÜNE;CSU;FDP;AfD;PIRATEN;NPD;FREIE WÄHLER;Tierschutzpartei;ÖDP;Die PARTEI;BP;Volksabstimmung;PDV;MLPD;BüSo;SGP;DIE RECHTE;Tierschutzallianz;B*;DKP;Die Grauen;du.;MG;MENSCHLICHE WELT;Gesundheitsforschung;V-Partei³;Bündnis C;DIE EINHEIT;DIE VIOLETTEN;FAMILIE;DIE FRAUEN;MIETERPARTEI;Neue Liberale;UNABHÄNGIGE;Übrige;Ungültige;Gültige;CDU;SPD;DIE LINKE;GRÜNE;CSU;FDP;AfD;PIRATEN;NPD;FREIE WÄHLER;Tierschutzpartei;ÖDP;Die PARTEI;BP;Volksabstimmung;PDV;MLPD;BüSo;SGP;DIE RECHTE;AD-DEMOKRATEN;Tierschutzallianz;B*;BGE;DiB;DKP;DM;Die Grauen;du.;MG;MENSCHLICHE WELT;Die Humanisten;Gesundheitsforschung;V-Partei³
;nan;nan;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen
Holzminden, Landkreis;56413,0;42094,0;458,0;41636,0;14042,0;16748,0;1946,0;2166,0;0,0;2619,0;3778,0;337,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;392,0;41702,0;12956,0;14191,0;2241,0;2778,0;0,0;4248,0;4012,0;145,0;137,0;120,0;370,0;25,0;264,0;0,0;0,0;0,0;7,0;0,0;0,0;0,0;0,0;0,0;0,0;68,0;32,0;8,0;49,0;0,0;0,0;0,0;0,0;0,0;0,0;51,0
Nienburg (Weser), Landkreis;94684,0;69420,0;572,0;68848,0;30880,0;20314,0;2901,0;5466,0;0,0;2898,0;6023,0;366,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;485,0;68935,0;25803,0;19267,0;3605,0;5593,0;0,0;5840,0;6760,0;241,0;202,0;240,0;529,0;49,0;430,0;0,0;0,0;0,0;22,0;0,0;0,0;0,0;0,0;0,0;0,0;103,0;68,0;6,0;112,0;0,0;0,0;0,0;0,0;0,0;0,0;65,0
Schaumburg, Landkreis;124612,0;95595,0;806,0;94789,0;36940,0;32196,0;4447,0;7011,0;0,0;4611,0;8783,0;801,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;652,0;94943,0;31331,0;28823,0;5601,0;7660,0;0,0;8305,0;9752,0;361,0;257,0;317,0;1087,0;85,0;755,0;0,0;0,0;0,0;31,0;0,0;0,0;0,0;0,0;0,0;0,0;116,0;122,0;15,0;195,0;0,0;0,0;0,0;0,0;0,0;0,0;130,0
Celle, Landkreis;139291,0;104899,0;855,0;104044,0;45873,0;29399,0;4915,0;5500,0;0,0;5742,0;11369,0;0,0;0,0;1246,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;691,0;104208,0;38534,0;25222,0;5683,0;7522,0;0,0;11280,0;12234,0;280,0;286,0;672,0;909,0;80,0;943,0;0,0;0,0;0,0;41,0;0,0;0,0;0,0;0,0;0,0;0,0;126,0;118,0;13,0;160,0;0,0;0,0;0,0;0,0;0,0;0,0;105,0
Cuxhaven, Landkreis;158327,0;119766,0;1259,0;118507,0;49827,0;36594,0;7223,0;7411,0;0,0;5951,0;9900,0;0,0;0,0;1601,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;878,0;118888,0;45137,0;33069,0;8074,0;8378,0;0,0;9638,0;10597,0;343,0;326,0;779,0;1157,0;95,0;780,0;0,0;0,0;0,0;23,0;0,0;0,0;0,0;0,0;0,0;0,0;123,0;82,0;15,0;151,0;0,0;0,0;0,0;0,0;0,0;0,0;121,0
Harburg, Landkreis;199081,0;161837,0;1325,0;160512,0;65223,0;44017,0;8638,0;14565,0;0,0;10458,0;14826,0;0,0;0,0;2785,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;982,0;160855,0;57815,0;35377,0;10117,0;16410,0;0,0;18839,0;16047,0;475,0;358,0;1340,0;1632,0;198,0;1238,0;0,0;0,0;0,0;35,0;0,0;0,0;0,0;0,0;0,0;0,0;209,0;240,0;31,0;201,0;0,0;0,0;0,0;0,0;0,0;0,0;293,0
Lüchow-Dannenberg, Landkreis;39216,0;29077,0;326,0;28751,0;10150,0;8074,0;2512,0;4466,0;0,0;1396,0;2153,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;224,0;28853,0;9507,0;6945,0;2836,0;3849,0;0,0;2226,0;2241,0;89,0;68,0;119,0;314,0;24,0;289,0;0,0;0,0;0,0;17,0;0,0;0,0;0,0;0,0;0,0;0,0;200,0;53,0;11,0;29,0;0,0;0,0;0,0;0,0;0,0;0,0;36,0
Lüneburg, Landkreis;141649,0;111923,0;1056,0;110867,0;36590,0;31095,0;9217,0;16138,0;0,0;7849,0;9978,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;637,0;111286,0;34354,0;25920,0;9869,0;15057,0;0,0;10733,0;10257,0;397,0;327,0;433,0;1192,0;226,0;1098,0;0,0;0,0;0,0;19,0;0,0;0,0;0,0;0,0;0,0;0,0;681,0;259,0;25,0;234,0;0,0;0,0;0,0;0,0;0,0;0,0;205,0
Osterholz, Landkreis;90283,0;70773,0;551,0;70222,0;25657,0;23348,0;6331,0;4759,0;0,0;3486,0;5984,0;0,0;0,0;499,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;158,0;513,0;70260,0;24072,0;18872,0;5746,0;6296,0;0,0;6023,0;6737,0;233,0;174,0;302,0;711,0;68,0;552,0;0,0;0,0;0,0;20,0;0,0;0,0;0,0;0,0;0,0;0,0;117,0;123,0;7,0;125,0;0,0;0,0;0,0;0,0;0,0;0,0;82,0
Rotenburg (Wümme), Landkreis;128993,0;99273,0;753,0;98520,0;43549,0;31758,0;4366,0;5750,0;0,0;4700,0;7216,0;349,0;0,0;699,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;133,0;641,0;98632,0;40479,0;24686,0;5722,0;7933,0;0,0;8456,0;7961,0;306,0;353,0;632,0;802,0;76,0;681,0;0,0;0,0;0,0;26,0;0,0;0,0;0,0;0,0;0,0;0,0;129,0;138,0;12,0;129,0;0,0;0,0;0,0;0,0;0,0;0,0;111,0
Heidekreis, Landkreis;108680,0;81721,0;635,0;81086,0;28257,0;35205,0;3088,0;3419,0;0,0;3491,0;6938,0;0,0;0,0;688,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;634,0;81087,0;30538,0;22812,0;4498,0;5913,0;0,0;6732,0;7872,0;256,0;297,0;375,0;760,0;81,0;528,0;0,0;0,0;0,0;15,0;0,0;0,0;0,0;0,0;0,0;0,0;114,0;66,0;5,0;142,0;0,0;0,0;0,0;0,0;0,0;0,0;83,0
Stade, Landkreis;157077,0;121081,0;952,0;120129,0;51270,0;34287,0;6657,0;8577,0;0,0;7298,0;10729,0;985,0;0,0;227,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;99,0;670,0;120411,0;44796,0;29928,0;7813,0;10064,0;0,0;11894,0;11404,0;546,0;422,0;669,0;1099,0;107,0;925,0;0,0;0,0;0,0;25,0;0,0;0,0;0,0;0,0;0,0;0,0;247,0;148,0;21,0;171,0;0,0;0,0;0,0;0,0;0,0;0,0;132,0
Uelzen, Landkreis;75321,0;57246,0;494,0;56752,0;22782,0;18790,0;2986,0;3766,0;0,0;3088,0;4830,0;0,0;0,0;510,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;448,0;56798,0;20324,0;15677,0;3614,0;4956,0;0,0;5054,0;5320,0;196,0;152,0;216,0;527,0;65,0;388,0;0,0;0,0;0,0;8,0;0,0;0,0;0,0;0,0;0,0;0,0;91,0;58,0;9,0;72,0;0,0;0,0;0,0;0,0;0,0;0,0;71,0
Verden, Landkreis;105853,0;82263,0;717,0;81546,0;33903,0;25157,0;4383,0;5387,0;0,0;4787,0;7011,0;0,0;0,0;573,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;345,0;725,0;81538,0;28963,0;21175,0;5309,0;7756,0;0,0;7441,0;7938,0;327,0;180,0;329,0;734,0;57,0;700,0;0,0;0,0;0,0;15,0;0,0;0,0;0,0;0,0;0,0;0,0;226,0;105,0;12,0;159,0;0,0;0,0;0,0;0,0;0,0;0,0;112,0
Delmenhorst, kreisfreie Stadt;57062,0;40108,0;581,0;39527,0;12034,0;13990,0;2966,0;2253,0;0,0;2768,0;5044,0;0,0;0,0;472,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;417,0;39691,0;12137,0;11689,0;3139,0;2610,0;0,0;3320,0;5185,0;188,0;132,0;245,0;411,0;46,0;332,0;0,0;0,0;0,0;12,0;0,0;0,0;0,0;0,0;0,0;0,0;54,0;42,0;10,0;86,0;0,0;0,0;0,0;0,0;0,0;0,0;53,0
Emden, kreisfreie Stadt;38327,0;27387,0;644,0;26743,0;5900,0;14236,0;2394,0;1741,0;0,0;1321,0;0,0;522,0;0,0;598,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;31,0;277,0;27110,0;6104,0;10369,0;2698,0;2311,0;0,0;1928,0;2707,0;128,0;69,0;142,0;220,0;15,0;231,0;0,0;0,0;0,0;17,0;0,0;0,0;0,0;0,0;0,0;0,0;45,0;36,0;18,0;41,0;0,0;0,0;0,0;0,0;0,0;0,0;31,0
Oldenburg (Oldenburg), kreisfreie Stadt;129052,0;100550,0;1033,0;99517,0;26611,0;36220,0;10350,0;13182,0;0,0;5662,0;6243,0;0,0;0,0;799,0;0,0;450,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;743,0;99807,0;26893,0;25590,0;11559,0;15112,0;0,0;9514,0;6678,0;457,0;175,0;379,0;836,0;216,0;1366,0;0,0;0,0;0,0;59,0;0,0;0,0;0,0;0,0;0,0;0,0;288,0;211,0;44,0;173,0;0,0;0,0;0,0;0,0;0,0;0,0;257,0
Osnabrück, kreisfreie Stadt;123090,0;93416,0;1801,0;91615,0;33648,0;29561,0;8734,0;10333,0;0,0;8656,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;683,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;606,0;92810,0;29701,0;22230,0;9232,0;13094,0;0,0;9243,0;5769,0;519,0;124,0;210,0;614,0;133,0;1050,0;0,0;0,0;0,0;21,0;0,0;0,0;0,0;0,0;0,0;0,0;284,0;207,0;56,0;160,0;0,0;0,0;0,0;0,0;0,0;0,0;163,0
Wilhelmshaven, kreisfreie Stadt;62279,0;43882,0;635,0;43247,0;12897,0;16255,0;3186,0;2594,0;0,0;2514,0;4293,0;0,0;0,0;634,0;0,0;0,0;784,0;0,0;0,0;0,0;90,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;554,0;43328,0;12962,0;13015,0;3756,0;3107,0;0,0;3904,0;4613,0;128,0;132,0;430,0;464,0;32,0;525,0;0,0;0,0;0,0;40,0;0,0;0,0;0,0;0,0;0,0;0,0;59,0;45,0;15,0;57,0;0,0;0,0;0,0;0,0;0,0;0,0;44,0
Ammerland, Landkreis;97201,0;75417,0;764,0;74653,0;25987,0;27015,0;3731,0;6645,0;0,0;4973,0;5349,0;0,0;0,0;594,0;0,0;359,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;543,0;74874,0;26524,0;19924,0;4792,0;6709,0;0,0;8622,0;5947,0;225,0;161,0;308,0;621,0;202,0;471,0;0,0;0,0;0,0;18,0;0,0;0,0;0,0;0,0;0,0;0,0;84,0;87,0;13,0;91,0;0,0;0,0;0,0;0,0;0,0;0,0;75,0
Aurich, Landkreis;153214,0;115289,0;2448,0;112841,0;32631,0;54995,0;7009,0;8046,0;0,0;5561,0;0,0;1782,0;0,0;2728,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;89,0;1328,0;113961,0;33448,0;42984,0;7444,0;8192,0;0,0;8151,0;10170,0;440,0;288,0;618,0;942,0;62,0;730,0;0,0;0,0;0,0;18,0;0,0;0,0;0,0;0,0;0,0;0,0;146,0;87,0;17,0;95,0;0,0;0,0;0,0;0,0;0,0;0,0;129,0
Cloppenburg, Landkreis;119275,0;86814,0;868,0;85946,0;49372,0;17132,0;3547,0;3598,0;0,0;4319,0;7533,0;0,0;0,0;445,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;637,0;86177,0;45241,0;16070,0;3958,0;3806,0;0,0;7558,0;7808,0;191,0;183,0;245,0;429,0;44,0;351,0;0,0;0,0;0,0;10,0;0,0;0,0;0,0;0,0;0,0;0,0;53,0;49,0;9,0;102,0;0,0;0,0;0,0;0,0;0,0;0,0;70,0
Emsland, Landkreis;237596,0;184053,0;1228,0;182825,0;106944,0;38959,0;6825,0;7764,0;0,0;10632,0;10720,0;0,0;0,0;0,0;0,0;0,0;981,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1070,0;182983,0;96251,0;37073,0;8040,0;9974,0;0,0;16343,0;11529,0;399,0;330,0;329,0;960,0;114,0;1020,0;0,0;0,0;0,0;35,0;0,0;0,0;0,0;0,0;0,0;0,0;149,0;139,0;11,0;161,0;0,0;0,0;0,0;0,0;0,0;0,0;126,0
Friesland, Landkreis;81078,0;61620,0;758,0;60862,0;19652,0;24742,0;3404,0;3511,0;0,0;3871,0;4460,0;0,0;0,0;445,0;0,0;0,0;709,0;0,0;0,0;0,0;68,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;641,0;60979,0;20099,0;18674,0;4108,0;4797,0;0,0;6135,0;5013,0;164,0;150,0;324,0;658,0;38,0;488,0;0,0;0,0;0,0;39,0;0,0;0,0;0,0;0,0;0,0;0,0;73,0;47,0;11,0;79,0;0,0;0,0;0,0;0,0;0,0;0,0;82,0
Grafschaft Bentheim, Landkreis;97190,0;75008,0;531,0;74477,0;35897,0;23995,0;2931,0;3922,0;0,0;3760,0;3547,0;0,0;0,0;0,0;0,0;0,0;425,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;426,0;74582,0;33347,0;20899,0;3607,0;4660,0;0,0;6610,0;3918,0;149,0;93,0;102,0;389,0;159,0;420,0;0,0;0,0;0,0;10,0;0,0;0,0;0,0;0,0;0,0;0,0;46,0;52,0;21,0;50,0;0,0;0,0;0,0;0,0;0,0;0,0;50,0
Leer, Landkreis;130599,0;97092,0;981,0;96111,0;40380,0;33112,0;4783,0;5469,0;0,0;3455,0;8069,0;0,0;0,0;0,0;0,0;0,0;843,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;853,0;96239,0;32885,0;32205,0;5979,0;6427,0;0,0;6857,0;8874,0;328,0;283,0;253,0;775,0;92,0;903,0;0,0;0,0;0,0;20,0;0,0;0,0;0,0;0,0;0,0;0,0;100,0;90,0;16,0;79,0;0,0;0,0;0,0;0,0;0,0;0,0;73,0
Oldenburg, Landkreis;100619,0;79306,0;724,0;78582,0;28310,0;23169,0;4483,0;6549,0;0,0;8863,0;6191,0;0,0;0,0;1017,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;487,0;78819,0;27808,0;19696,0;5192,0;7113,0;0,0;9149,0;7019,0;254,0;153,0;599,0;671,0;71,0;611,0;0,0;0,0;0,0;17,0;0,0;0,0;0,0;0,0;0,0;0,0;122,0;76,0;14,0;130,0;0,0;0,0;0,0;0,0;0,0;0,0;124,0
Osnabrück, Landkreis;272761,0;209993,0;2124,0;207869,0;94916,0;60156,0;11695,0;16388,0;0,0;14273,0;9934,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;279,0;0,0;0,0;0,0;0,0;0,0;0,0;228,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1439,0;208554,0;85013,0;53635,0;12683,0;17605,0;0,0;19669,0;14670,0;673,0;409,0;515,0;1277,0;159,0;1213,0;0,0;0,0;0,0;26,0;0,0;0,0;0,0;0,0;0,0;0,0;323,0;197,0;50,0;240,0;0,0;0,0;0,0;0,0;0,0;0,0;197,0
Vechta, Landkreis;100767,0;76855,0;682,0;76173,0;44173,0;15865,0;3093,0;3436,0;0,0;3987,0;5150,0;0,0;0,0;469,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;516,0;76339,0;41060,0;12800,0;3187,0;4401,0;0,0;7740,0;5337,0;190,0;125,0;285,0;374,0;66,0;517,0;0,0;0,0;0,0;11,0;0,0;0,0;0,0;0,0;0,0;0,0;38,0;56,0;9,0;79,0;0,0;0,0;0,0;0,0;0,0;0,0;64,0
Wesermarsch, Landkreis;70015,0;50780,0;661,0;50119,0;17046,0;18167,0;2813,0;4131,0;0,0;3577,0;3887,0;0,0;0,0;498,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;471,0;50309,0;16581,0;16237,0;3236,0;3802,0;0,0;4607,0;4188,0;163,0;164,0;250,0;416,0;37,0;359,0;0,0;0,0;0,0;17,0;0,0;0,0;0,0;0,0;0,0;0,0;59,0;39,0;12,0;92,0;0,0;0,0;0,0;0,0;0,0;0,0;50,0
Wittmund, Landkreis;45987,0;33651,0;417,0;33234,0;11988,0;13507,0;1537,0;1437,0;0,0;1689,0;2639,0;0,0;0,0;157,0;0,0;0,0;256,0;0,0;0,0;0,0;24,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;362,0;33289,0;12037,0;10518,0;1874,0;2080,0;0,0;2919,0;2864,0;85,0;107,0;126,0;301,0;20,0;203,0;0,0;0,0;0,0;14,0;0,0;0,0;0,0;0,0;0,0;0,0;43,0;29,0;4,0;41,0;0,0;0,0;0,0;0,0;0,0;0,0;24,0
Bremen, kreisfreie Stadt;393286,0;284098,0;4022,0;280076,0;68444,0;86886,0;33861,0;30031,0;0,0;27001,0;25035,0;0,0;246,0;657,0;0,0;0,0;6939,0;0,0;0,0;0,0;447,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;529,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2812,0;281286,0;70450,0;73173,0;38787,0;32731,0;0,0;27189,0;26851,0;1594,0;585,0;967,0;0,0;0,0;4775,0;0,0;0,0;0,0;226,0;0,0;0,0;0,0;0,0;0,0;0,0;1689,0;0,0;164,0;504,0;0,0;0,0;0,0;716,0;0,0;0,0;885,0
Bremerhaven, kreisfreie Stadt;80865,0;51821,0;854,0;50967,0;12831,0;18233,0;5544,0;3355,0;0,0;3456,0;5900,0;0,0;241,0;282,0;0,0;0,0;814,0;0,0;0,0;0,0;53,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;258,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;784,0;51037,0;12959,0;15771,0;5842,0;4002,0;0,0;3867,0;6393,0;364,0;278,0;227,0;0,0;0,0;736,0;0,0;0,0;0,0;47,0;0,0;0,0;0,0;0,0;0,0;0,0;115,0;0,0;10,0;103,0;0,0;0,0;0,0;189,0;0,0;0,0;134,0
Düsseldorf, kreisfreie Stadt;413939,0;316546,0;3331,0;313215,0;117223,0;80630,0;31110,0;26186,0;0,0;34993,0;22442,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;631,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2090,0;314456,0;95658,0;66711,0;28786,0;31527,0;0,0;55217,0;24997,0;1248,0;450,0;681,0;2122,0;264,0;3006,0;0,0;217,0;0,0;237,0;0,0;23,0;0,0;973,0;0,0;0,0;394,0;597,0;88,0;343,0;0,0;0,0;0,0;0,0;267,0;250,0;400,0
Duisburg, kreisfreie Stadt;328202,0;225342,0;6266,0;219076,0;60575,0;80254,0;17031,0;11270,0;0,0;15343,0;30291,0;2012,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;885,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1415,0;3934,0;221408,0;53576,0;72620,0;18915,0;12337,0;0,0;20860,0;29343,0;1405,0;1033,0;556,0;2178,0;167,0;2291,0;0,0;209,0;0,0;422,0;0,0;39,0;0,0;4019,0;0,0;0,0;226,0;244,0;85,0;245,0;0,0;0,0;0,0;0,0;138,0;234,0;266,0
Essen, kreisfreie Stadt;419680,0;310235,0;3480,0;306755,0;99222,0;104579,0;21238,0;20495,0;0,0;23315,0;35620,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;561,0;0,0;0,0;0,0;0,0;0,0;420,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;130,0;0,0;0,0;0,0;0,0;0,0;1175,0;2532,0;307703,0;84119,0;87154,0;25249,0;23468,0;0,0;38675,0;35155,0;1298,0;788,0;640,0;2930,0;323,0;3443,0;0,0;325,0;0,0;370,0;0,0;25,0;0,0;1494,0;0,0;0,0;339,0;498,0;204,0;279,0;0,0;0,0;0,0;0,0;200,0;324,0;403,0
Krefeld, kreisfreie Stadt;163278,0;116789,0;1579,0;115210,0;43505,0;34008,0;7170,0;7742,0;0,0;11031,0;8865,0;473,0;0,0;0,0;0,0;0,0;2226,0;0,0;0,0;0,0;190,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1080,0;115709,0;36907,0;28787,0;9393,0;8968,0;0,0;16920,0;9569,0;546,0;254,0;267,0;857,0;100,0;1319,0;0,0;97,0;0,0;96,0;0,0;5,0;0,0;869,0;0,0;0,0;183,0;131,0;34,0;147,0;0,0;0,0;0,0;0,0;44,0;99,0;117,0
