;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;DIE LINKE;GRÜNE;CSU;FDP;AfD;PIRATEN;NPD;FREIE WÄHLER;Tierschutzpartei;ÖDP;Die PARTEI;BP;Volksabstimmung;PDV;MLPD;BüSo;SGP;DIE RECHTE;Tierschutzallianz;B*;DKP;Die Grauen;du.;MG;MENSCHLICHE WELT;Gesundheitsforschung;V-Partei³;Bündnis C;DIE EINHEIT;DIE VIOLETTEN;FAMILIE;DIE FRAUEN;MIETERPARTEI;Neue Liberale;UNABHÄNGIGE;Übrige;Ungültige;Gültige;CDU;SPD;DIE LINKE;GRÜNE;CSU;FDP;AfD;PIRATEN;NPD;FREIE WÄHLER;Tierschutzpartei;ÖDP;Die PARTEI;BP;Volksabstimmung;PDV;MLPD;BüSo;SGP;DIE RECHTE;AD-DEMOKRATEN;Tierschutzallianz;B*;BGE;DiB;DKP;DM;Die Grauen;du.;MG;MENSCHLICHE WELT;Die Humanisten;Gesundheitsforschung;V-Partei³
;nan;nan;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen;Zweitstimmen
Plön, Landkreis;104905,0;84179,0;730,0;83449,0;34541,0;23900,0;4258,0;8318,0;0,0;5995,0;5715,0;0,0;0,0;722,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;678,0;83501,0;28555,0;19342,0;5277,0;11387,0;0,0;10712,0;6418,0;0,0;201,0;445,0;0,0;115,0;821,0;0,0;0,0;0,0;30,0;0,0;0,0;0,0;0,0;0,0;0,0;198,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Rendsburg-Eckernförde, Landkreis;218493,0;172146,0;1393,0;170753,0;72763,0;49004,0;8677,0;15631,0;0,0;11368,0;11461,0;0,0;0,0;1622,0;0,0;0,0;194,0;0,0;0,0;0,0;14,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;19,0;0,0;0,0;1178,0;170968,0;61796,0;38881,0;10809,0;21485,0;0,0;21178,0;12558,0;0,0;320,0;1083,0;0,0;260,0;1922,0;0,0;0,0;0,0;59,0;0,0;0,0;0,0;0,0;0,0;0,0;617,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Schleswig-Flensburg, Landkreis;158366,0;122220,0;1111,0;121109,0;52980,0;32536,0;6828,0;11953,0;0,0;7726,0;7142,0;0,0;0,0;1495,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;449,0;1026,0;121194,0;44938,0;28246,0;8303,0;14888,0;0,0;13882,0;7951,0;0,0;241,0;945,0;0,0;197,0;1143,0;0,0;0,0;0,0;39,0;0,0;0,0;0,0;0,0;0,0;0,0;421,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Segeberg, Landkreis;211659,0;163157,0;1333,0;161824,0;67365,0;43388,0;9093,0;12713,0;0,0;13851,0;13326,0;0,0;0,0;2070,0;0,0;0,0;0,0;0,0;0,0;0,0;18,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1204,0;161953,0;57040,0;36025,0;10982,0;17007,0;0,0;21924,0;14571,0;0,0;444,0;1375,0;0,0;308,0;1788,0;0,0;0,0;0,0;70,0;0,0;0,0;0,0;0,0;0,0;0,0;419,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Steinburg, Landkreis;105066,0;79237,0;671,0;78566,0;33059,0;20979,0;4480,0;5636,0;0,0;7735,0;5758,0;0,0;0,0;817,0;0,0;0,0;0,0;0,0;0,0;0,0;102,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;698,0;78539,0;28317,0;18064,0;5467,0;8346,0;0,0;9693,0;6466,0;0,0;288,0;609,0;0,0;122,0;891,0;0,0;0,0;0,0;32,0;0,0;0,0;0,0;0,0;0,0;0,0;244,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Stormarn, Landkreis;188426,0;152508,0;1141,0;151367,0;61048,0;41145,0;7858,0;14313,0;0,0;12764,0;12698,0;0,0;0,0;1497,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;44,0;0,0;0,0;0,0;0,0;0,0;933,0;151575,0;52385,0;32937,0;9875,0;17741,0;0,0;21277,0;13792,0;0,0;287,0;883,0;0,0;312,0;1642,0;0,0;0,0;0,0;30,0;0,0;0,0;0,0;0,0;0,0;0,0;414,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
Hamburg, kreisfreie Stadt;1296656,0;984926,0;9254,0;975672,0;277677,0;311889,0;105242,0;114485,0;0,0;69178,0;71527,0;0,0;1245,0;5426,0;0,0;3369,0;11426,0;0,0;0,0;0,0;1123,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3085,0;6808,0;978118,0;266312,0;229862,0;119076,0;136371,0;0,0;105610,0;76511,0;0,0;1799,0;3458,0;8813,0;2778,0;15388,0;0,0;0,0;0,0;688,0;0,0;0,0;0,0;0,0;0,0;0,0;4573,0;4199,0;511,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2169,0
Braunschweig, kreisfreie Stadt;192041,0;147712,0;1362,0;146350,0;45881,0;55641,0;11145,0;11761,0;0,0;7877,0;11377,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;344,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2324,0;1055,0;146657,0;42534,0;38695,0;13673,0;17295,0;0,0;14684,0;12268,0;905,0;308,0;413,0;1423,0;223,0;2698,0;0,0;0,0;0,0;130,0;0,0;0,0;0,0;0,0;0,0;0,0;394,0;390,0;30,0;298,0;0,0;0,0;0,0;0,0;0,0;0,0;296,0
Salzgitter, kreisfreie Stadt;73810,0;52929,0;687,0;52242,0;13266,0;22312,0;3601,0;1595,0;0,0;2555,0;8292,0;516,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;105,0;616,0;52313,0;13614,0;17567,0;4295,0;2525,0;0,0;3471,0;8599,0;255,0;282,0;190,0;529,0;40,0;524,0;0,0;0,0;0,0;33,0;0,0;0,0;0,0;0,0;0,0;0,0;75,0;64,0;19,0;178,0;0,0;0,0;0,0;0,0;0,0;0,0;53,0
Wolfsburg, kreisfreie Stadt;89886,0;66383,0;702,0;65681,0;22185,0;24905,0;4228,0;2881,0;0,0;3906,0;7075,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;81,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;420,0;604,0;65779,0;22448,0;18983,0;4752,0;4058,0;0,0;5433,0;7684,0;330,0;170,0;187,0;536,0;125,0;608,0;0,0;0,0;0,0;51,0;0,0;0,0;0,0;0,0;0,0;0,0;54,0;75,0;25,0;172,0;0,0;0,0;0,0;0,0;0,0;0,0;88,0
