ID;CDU_Erststimmen;CDU_Zweitstimmen;SPD_Erststimmen;SPD_Zweitstimmen;AfD_Erststimmen;AfD_Zweitstimmen;DIE LINKE_Erststimmen;DIE LINKE_Zweitstimmen;FDP_Erststimmen;FDP_Zweitstimmen;GRÜNE_Erststimmen;GRÜNE_Zweitstimmen;CSU_Erststimmen;CSU_Zweitstimmen;FREIE WÄHLER_Erststimmen;FREIE WÄHLER_Zweitstimmen;Die PARTEI_Erststimmen;Die PARTEI_Zweitstimmen
14;0.20224279869473755;0.17354358880919646;0.1363071673485614;0.10911530370542148;0.04206655513408756;0.04569081181361912;0.02603236653360057;0.032714382733431614;0.042285203160457835;0.07048748571333918;0.04741680608239055;0.05877325205810737;0.0;0.0;0.004959334779944013;0.002925245564923556;0.0;0.005439697868181743
15;0.14466578238005082;0.13874477841951655;0.16248974960379028;0.1197548449077282;0.03726455347867449;0.03986114685652779;0.05482959074479092;0.06203690872015663;0.03604075776347035;0.0550213135303146;0.05964506277358268;0.07104735865393932;0.0;0.0;0.0028268691148138152;0.0018015690009263129;0.005952784096178152;0.008016929955539069
16;0.16045561687335194;0.148750445894622;0.19458841303481125;0.13532464625693322;0.03978778913206175;0.042903805666883496;0.03897643578068279;0.047817389540536194;0.027547544606948263;0.05135307160193326;0.04113071881710277;0.06048429401766792;0.0;0.0;0.0;0.0014443488539633911;0.0;0.009435479922501766
17;0.1295431908286624;0.13294142921313204;0.21787785871921567;0.17154268304591527;0.08097181805753569;0.08396968927601899;0.035163955236997835;0.04194090190027928;0.02494970997793098;0.03389449836923618;0.015575259262152608;0.024656758393062906;0.0;0.0;0.0;0.001855360037497803;0.0;0.005116887682362362
18;0.17153394725244137;0.17356745764808673;0.19256492929105487;0.1467761514849265;0.054703749236467106;0.059412524259083145;0.03269080590413893;0.0367423627380483;0.030201108765744243;0.04200784022639233;0.022275830607810843;0.03137636952672558;0.0;0.0;0.0;0.0014458800151546782;0.0;0.0047010430439253705
19;0.19880421455751543;0.18374943214845715;0.1744000312623645;0.13851181375446345;0.05258427405370288;0.05801610988721125;0.026275040421260363;0.030002100440115476;0.024570264606607106;0.04412878140280091;0.027173833400905633;0.03591752597462864;0.0;0.0;0.0;0.0018122401926543212;0.0;0.004054337897312902
20;0.17394741668827596;0.15778788319598258;0.19336415556159914;0.16165858162936164;0.05239989627540146;0.05656152955834825;0.03290726135436497;0.035576272365616564;0.027189759093295216;0.04617009569226683;0.02509629311053627;0.0314589117771692;0.0;0.0;0.0;0.0015685183194085169;0.0;0.004313425378373421
21;0.18051600089934797;0.176984186464813;0.1954957655699618;0.15860376227235254;0.048274376077343924;0.050466536760848384;0.02942554148242524;0.03226410852132204;0.028310724724574684;0.04038634489994754;0.023495465787304205;0.029369332234130255;0.0;0.0;0.0;0.0018455369856853782;0.0;0.0045623173199430414
22;0.2063651570379987;0.1646839266989564;0.18121785589454237;0.16871598342237978;0.043790882308883006;0.048178708743196685;0.02422978978379188;0.028898487042492635;0.02299395815648874;0.044795775702801216;0.02632695860588206;0.03440979677435462;0.0;0.0;0.0;0.001691466520197733;0.0;0.003701253308034154
23;0.16359385181494115;0.1574546104999553;0.21378103159696935;0.1719498639273257;0.047050481045651425;0.05240395057942683;0.026875950272784187;0.03116255893288359;0.02488277307166494;0.039697445922291644;0.02865831065455428;0.03585163606628592;0.0;0.0;0.0;0.0017951371587003463;0.0;0.004842398456565347
